Individus.m;annee.m;sexe.m;age.m;poids.m;longueur_aile.m;longueur_du_tarsus.m;longueur_de_la_queue.m;projection_des_ailes.m;longueur_du_bec.m;hauteur_du_bec.m;largeur_du_bec.m
VB-47;98;male;35;37,3;104;35,4;82;31;13,2;5,2;5,1
VB-48;98;male;35;34,5;101;34;75;31;12,8;5;5
VB-49;98;male;35;35,3;98;33,05;76;30;12,9;5,2;5
VB-50;98;male;35;33,2;103;34,05;80;29;13,1;5,1;4,9
VB-51;98;male;35;34,6;101;34,35;78;30;12,5;5,1;4,9
VB-52;98;male;35;36,6;100;34,1;75;30;12,5;5,1;5
VB-53;98;male;20;35;100;33,15;76;30;12,6;5;4,9
VB-54;98;male;20;34,3;100;33,6;75;30;13,1;4,9;5
VB-55;98;male;20;32,3;102;33,15;78;29;12,2;5;4,6
VB-57;98;male;20;37,3;105;32,9;84;34;13,2;5,1;5
VB-58;98;male;35;34,5;103;34,6;81;32;12,8;5,1;5,1
VB-59;98;male;35;34,6;102;33,2;80;29;12,6;5;4,8
VB-70;98;male;35;36,5;100;35;78;31;12,8;5,2;5,2
VB-71;98;male;35;35,35;102;33,45;80,5;31;13,1;5,05;4,9
VB-72;98;male;35;35,5;102;34,3;78;31;12,2;4,9;4,9
VB-79;98;male;35;33,2;100;34;80;30;12;5,1;4,5
VB-83;98;male;35;35,2;104;34,1;84;31;12,6;5;4,7
VB-87;98;male;35;34,2;102;32,6;81;29;13,2;4,9;5
VB-92;98;male;35;34,2;98;32,5;79;28;12,6;5,2;4,9
VB-95;98;male;30;38,9;101;34,55;80;28;12,1;5,6;5,5
VB-99;98;male;20;34,1;98;33,2;75;29;12,4;5,2;5
