Individus.m;annee.m;sexe.m;age.m;poids.m;longueur_aile.m;longueur_du_tarsus.m;longueur_de_la_queue.m;projection_des_ailes.m;longueur_du_bec.m;hauteur_du_bec.m;largeur_du_bec.m
H7-52;94,33333333;femelle;33,33333333;27,4;96,33333333;30,56666667;72,66666667;28,5;11,76666667;5;5,066666667
H7-53;92;male;35;36,3;105,3;35,1;84;30;12,2;5,4;5
H7-54;94;femelle;35;38,7;97;32,1;78;28;12,6;5,3;5,2
H7-58;93;male;35;34,85;98,25;32,9;79;28,25;13,25;5,15;5,05
H7-7;91,5;femelle;67,5;30,85;99,7;33,15;78,5;28;13,6;5,3;5,15
H7-70;92;femelle;20;33,9;95;32,9;74;25,5;12,8;5,4;5,3
H7-71;91,5;male;25;32,2;99;32,4;78;31;13,05;5,1;5,05
H7-72;92;femelle;35;35,9;94;31,9;74;27;12,4;5,6;5,3
H7-73;93;femelle;35;32,1;96;33,4;72;29;13;4,9;5,1
H7-74;94;male;28,75;33,025;102;34,55;80;30,5;11,8;5,125;5
H7-75;94,5;femelle;60;31,95;101,5;33,15;80,5;29;13,35;5,15;5,05
H7-77;92;male;35;34,75;104;33,6;82;29,25;12,8;5,1;4,9
H7-78;92,5;male;45;34,45;98,95;34,775;77,25;28;12,25;5,2;5,075
H7-79;94,5;femelle;35;32,7;95,5;32,525;73;29,25;12,95;5,25;5,2
H7-80;92,5;male;40;34,8;104;32,5;82,5;29,25;13,05;5,1;5,05
H7-81;93;femelle;20;35,7;94;32,8;77;27;12,3;5,1;5,1
H7-82;92,33333333;femelle;50;29,4;98,1;31,46666667;75,33333333;28,66666667;12,63333333;5,2;4,966666667
H7-84;94;male;35;33,7;99;34,3;77,5;27,5;13,8;5,3;5,3
H7-85;91;male;35;33,7;98;33,4;75;28,5;12,1;5;4,9
H7-87;93;male;45;35,3;100;34;79;29;12,7;5,2;5
H7-88;92,5;femelle;27,5;31,3;96,65;32,2;74,5;28,5;11,8;5;5
H7-89;92,5;male;25;33,55;102;33,9;79,5;28,75;13;5,2;5,3
H7-90;93;femelle;35;32,4;95,4;32,9;71;28;11,5;5;5,2
H7-92;93;femelle;35;32,7;100;30,9;77;27,5;12;5;5,1
H7-93;94;male;35;35,4;99;35;77;27;13,8;5,4;4,9
H7-94;94;femelle;20;30,7;94;32,2;73;28;12,9;4,9;4,8
H7-95;94;femelle;35;34;97;33,9;75;30;12,8;5,1;5
H7-97;94;femelle;27,5;35,75;96,85;32,45;77,5;28,5;12,45;5,2;5,3
H7-99;92;male;70;36,2;101,7;34,1;78;29,5;12,6;5,3;4,8
H8-00;92;femelle;40;33,8;101;32,4;76;28,5;12,8;5,3;5,1
H8-03;98;femelle;20;30,8;93;33,15;67;21;13,1;5,1;5,3
H8-04;98;femelle;20;34,4;93;31,7;70;29;13,1;5,05;4,8
H8-07;98;male;60;34,9;102;34,6;79;29;14,1;5,2;5,1
H8-09;98;male;20;30,1;97,5;32,8;78;27;13,1;5,2;4,9
H8-10;98;male;20;32,7;98;33,4;78;29;13,2;5,3;5,1
H8-11;98;male;20;35;98;34,25;75;27;12,8;5,2;4,9
H8-23;98;femelle;20;27,2;97;32,2;73;31;12,3;5,1;5,2
H8-25;93;male;41,66666667;36,93333333;99,83333333;34,23333333;78,66666667;28,5;13,23333333;5,433333333;5,3
H8-27;92;femelle;40;31,35;97,5;32,55;77;30,5;12,05;5;4,95
H8-35;98;male;20;35,3;100;34;78;27;12,8;5,2;5,1
H8-37;98;femelle;20;36,4;98;33,7;72;29,5;13,6;5,1;5,1
H8-39;98;male;20;33,5;102;33;79;30,5;12,85;5,15;5,05
H8-52;98;male;20;34,7;99;33,95;73;28;13;5,2;5,3
H8-57;91;male;30;32,3;101,4;33,6;83;31;12,3;5,1;5,1
H8-70;98;male;20;33,85;98;34,125;77,5;29;13;5,3;5,25
H8-72;92,8;male;38;34,92;101,44;33,62;80,8;28,8;12,62;5,24;4,98
H8-87;98;femelle;20;32,3;96;32,5;74;27;12,2;5,1;4,9
H8-88;94;male;35;34,1;103;33,75;80;29;11,8;5;5,3
H8-9;95;femelle;35;34,8;99;33,3;76;30,5;12,6;5;5,1
H8-92;91;male;30;34,6;101;34,9;78;29,5;12,1;5,1;4,9
H8-97;98;male;20;34,2;100;33,8;79;30;12,9;5,1;4,8
H8-98;98;femelle;20;36,7;95;33,15;75;28;12,8;5,1;5
H8-99;91;femelle;35;31,6;96;32,1;76;30;12,1;5;5
H9-01;92;femelle;30;30,3;97;34,1;75;28;13;5,2;4,8
H9-05;92,5;femelle;35;31,4;97;32,1;73,5;27;12,35;5,1;5
H9-22;94,5;femelle;51,25;34,2;98;33,4625;74,5;27,875;12,175;5,225;5,05
H9-25;91;male;20;32,9;101;33,2;80;28;12,8;5,2;5
H9-27;91;femelle;20;34,7;98,3;32,3;76;28,5;12,9;5,2;5,4
H9-29;91,5;male;25;34,65;101,2;34;78;28,75;12,3;5,15;5
H9-55;91;femelle;20;32,85;93;32,45;73;26,5;11,85;5,25;5,45
H9-58;91;femelle;20;34,6;94;33,8;72;28;12,1;5,1;4,9
H9-59;91;male;20;34,2;100;32,6;80;30,5;12;5,1;5
H9-75;91;male;20;35,1;99;34,9;77;30;13,3;5,4;5
H9-78;92;femelle;30;36,4;95;32,1;75;28;12,2;4,8;4,8
H9-85;92,8;femelle;35;33,16;95;31,68;74,8;29,2;12,16;5,1;5,04
H9-88;92;male;30;33,83333333;104,3666667;33;82,33333333;30,66666667;12,26666667;5,1;4,866666667
H9-92;91;femelle;20;33,8;96,4;34,1;72;28;11,9;5,1;5,7
H9-94;92,5;femelle;35;31,4;97,5;33;78;29;12,3;5,15;5
H9-99;91;femelle;20;36,3;99;32,9;77;28;12,2;5,1;5,2
HB-00;98;male;35;33;101;34,5;74;31;13,2;5,2;4,9
HB-01;98;male;35;33,8;99;33,9;76;29;12,3;5,1;5
HB-02;98;femelle;20;34,7;96;33,45;74;28;12,4;5;4,8
HB-03;98;male;20;36,7;103;34;82;31;12,8;5,1;5
HB-04;98;male;35;35,8;102;34,4;80;29;12,4;5,2;5,1
HB-05;98;male;35;35,1;102;34,2;80;30;12,8;5,2;5,1
HB-07;98;male;35;35;102,5;34,25;81;30;13;5;4,8
HB-08;98;male;35;34;99;31,6;73;29;12,6;5,2;4,9
HB-09;98;male;20;32,9;101;33,65;82;28,5;12,6;5;4,9
HB-10;98;male;35;35,7;102;34,75;83;28;12,3;5,1;5,2
HB-11;98;male;20;34;97;34,3;80;26;12,7;5,1;4,8
HB-13;98;male;35;34,3;101;32,3;81;32;12,8;5;5,1
HB-14;98;male;35;33,1;100;33,4;80;28;12,8;5,2;4,9
HB-15;98;male;35;34,2;100;33,6;79;28;13,1;5,1;5,3
HB-17;98;male;35;32,3;99,4;33,2;78;28,5;12,2;4,9;5
HB-18;98;male;35;32,4;100;33,1;78;29;12,9;5;4,9
HB-19;98;male;35;34,7;104;33,9;83;30;12,8;5,2;5,2
HB-20;98;male;35;36,8;104;33,7;82;30;12,4;5,1;5
HB-21;98;male;35;32,3;101;31,2;76;30;11,6;4,9;4,9
HB-22;98;male;35;32,3;100;33,2;80;29;12,1;5;4,9
HB-23;98;male;35;35;102;34;79;29;13,1;5,4;5,1
HB-24;98;male;35;34,8;99;33,1;81;29;12,5;5,2;4,8
HB-25;98;male;35;33,2;101;32,95;76;29;12,2;5,2;4,7
HB-27;98;male;35;34,8;102;33,4;79;28;13,1;5,2;5,2
HB-28;98;male;35;35,6;100;32,9;81;28;13,1;5,2;5,3
HB-29;98;male;35;35,2;103,5;33,15;80;30,5;13,3;5,2;5,3
HB-30;98;male;35;34,2;102;33,3;77;31;12;5;4,9
HB-32;98;male;20;36,4;101;34,2;80;29,5;13;5,2;5,2
HB-33;98;male;30;38,6;103;35,15;79;31;13,8;5;5,1
HB-34;98;male;35;29,6;101;32,85;78;29;11,8;4,9;5,1
HB-35;98;male;35;33,6;100;33,95;83;28;13,9;5;4,9
HB-37;98;male;35;33,9;98;33,4;76;26;12,7;5,1;4,6
HB-38;98;male;35;33,1;102;34,1;82;29,5;12,2;5,1;5,1
HB-39;98;male;25;33,4;98;33,1;76;28;12,9;5,1;4,8
HB-41;98;male;35;35,2;100;34,25;81;30;13;5,1;4,9
HB-43;98;femelle;30;34,3;95;33,2;78;27,5;12,7;5,1;4,8
HB-44;98;male;35;35,2;101;35,25;79;30;12,8;5,1;4,8
HB-45;98;male;35;35,6;104;33,9;81;31,5;12,7;5,2;5,1
HB-47;98;male;35;34,2;103;33;81;30;12;5,1;4,8
HB-48;98;femelle;35;31,9;99;32,35;76;30;12,4;5,2;5,2
HB-49;98;femelle;30;34;98;33;77;28,5;12,2;5;4,8
HB-50;98;male;25;32,6;99;33,9;79;29;12,2;5,1;5
HB-51;98;male;30;34,8;102;33,5;82;29;12,9;5,3;5,1
HB-52;98;male;30;33,6;100;33,8;77;30;12,2;5;4,8
HB-53;98;male;35;35,8;102;34,1;77;28,5;13,2;5,6;4,8
HB-54;98;male;35;37,8;100;35,1;66;28;12,8;5,1;5,1
HB-55;98;male;30;35,6;103;33;82;29;12,6;5,3;5
HB-57;98;male;25;36,3;103;35,65;83;31;12,9;5;5,1
HB-58;98;male;35;36,4;102;34,35;82;28;13,1;5,1;5,1
HB-59;98;male;35;36,8;103;34,15;81;32;12,1;5,1;4,7
HB-72;98;femelle;20;30;97;32,4;81;30;12,9;5;4,8
HB-73;98;male;20;33,2;100;33,15;77;29;12,9;5;5
HB-74;98;male;20;34,7;101;33,95;78;31;12,1;5,1;5
HB-75;98;male;20;35,8;103;33,9;84;31;11,9;5,1;5
HB-77;98;femelle;35;28,8;95;33;72;27;12,1;5;4,9
HB-78;98;male;35;35,8;103;34,95;78;30;12,8;5,4;5,8
HB-79;98;male;35;34,5;100;33,85;78;30;11,2;5,1;5
HB-80;98;femelle;25;28,2;96;32,5;77;29;12,5;5;5,1
HB-81;98;male;25;33,2;99;34,15;77;32;12,2;4,9;5,1
HB-82;98;male;35;34,8;100;33,9;80;29;13,2;5;5
HB-83;98;male;35;35;99;33,5;84;30;12,9;5;5
HB-85;98;femelle;35;28,7;94;32,15;75;27;12,1;5;5
HB-87;98;male;35;33,1;100;34,85;85;29;12,1;5,1;4,9
HB-88;98;male;35;34,5;98;34,05;78;28;12;5;4,9
HB-89;98;male;35;36;104;35,6;82;34;12,8;5,2;5,1
HB-90;98;male;35;33,9;101;34,3;80;33;13,2;5,2;5,1
HB-91;98;femelle;30;30,1;94;32,65;74;26;12,5;5,1;5
HB-92;98;femelle;35;29;96;32,8;76;29;12,8;5;5,1
HB-97;98;male;25;34,6;104;33,9;80;33;12,7;5,1;5,1
HB-98;98;male;30;33,4;100;32,6;78;32;12,8;5,1;5
HB-99;98;male;35;36,4;105;33,6;80;33;12,7;5;4,9
V;97;femelle;20;36,5;96;32,7;73;29;12,4;5,1;4,9
V-21;91;male;45;35,6;102;34;79;30;13,1;5;4,9
V-39;91;femelle;55;32,1;96;33,2;74;29;12,8;5;5
V-41;91;femelle;55;31,4;96;32,8;76;28;12;5,2;5,2
V-57;93,25;male;47,5;32,875;101,025;32,925;79,5;28,25;12,175;5,125;4,875
V-59;94;femelle;70;30,35;97;33,65;73,25;29;13,25;5,15;5,15
V-74;91;femelle;35;29,2;95;30,8;75;26,5;12,8;5,2;5
